"county","party","candidate","votes","persons_per_household"
Henry,Democrat,Bernie Sanders,958,2.55
Lonoke,Republican,Ted Cruz,4028,2.74
Carter,Republican,Donald Trump,623,2.56
Yavapai,Republican,Donald Trump,17005,2.28
Benton,Democrat,Hillary Clinton,672,2.55
Floyd,Republican,Donald Trump,5945,2.66
Scott,Republican,Donald Trump,3373,2.55
Choctaw,Democrat,Hillary Clinton,1772,2.45
Allen,Republican,Donald Trump,640,2.46
Richmond City,Democrat,Hillary Clinton,21822,2.33
Missoula,Democrat,Bernie Sanders,13271,2.36
Franklin,Democrat,Hillary Clinton,226,2.4
Randolph,Democrat,Hillary Clinton,690,2.38
Hardin,Republican,Donald Trump,496,2.33
Lowndes,Democrat,Hillary Clinton,4030,2.51
La Plata,Democrat,Bernie Sanders,1466,2.39
Morgan,Republican,Donald Trump,1976,2.46
Dubuque,Democrat,Hillary Clinton,2504,2.41
Marion,Republican,Donald Trump,2454,2.58
Jackson,Republican,Donald Trump,5484,2.81
Caldwell,Democrat,Bernie Sanders,866,2.44
Prentiss,Republican,Donald Trump,1597,2.53
St. Clair,Republican,Donald Trump,11995,2.49
Winchester,Democrat,Hillary Clinton,949,2.46
Baltimore,Democrat,Hillary Clinton,73099,2.52
St. Joseph,Republican,Ted Cruz,2655,2.7
Golden Valley,Republican,Donald Trump,203,2.12
Henderson,Democrat,Hillary Clinton,2887,2.4
Dixon,Republican,Donald Trump,513,2.5
Grundy,Republican,Donald Trump,3625,2.75
Blaine,Republican,Donald Trump,99,2.35
Howard,Republican,Donald Trump,8475,2.36
Yankton,Democrat,Hillary Clinton,706,2.34
Haywood,Democrat,Bernie Sanders,3873,2.19
Hinds,Democrat,Hillary Clinton,31386,2.71
Madison,Republican,Donald Trump,916,2.64
Clinton,Democrat,Bernie Sanders,4301,2.32
Lake,Democrat,Hillary Clinton,49750,2.84
Chattooga,Republican,Donald Trump,1674,2.52
Goshen,Democrat,Hillary Clinton,3,2.4
Newport News,Democrat,Hillary Clinton,12495,2.5
Grand,Democrat,Bernie Sanders,187,2.72
Columbia,Republican,Donald Trump,4019,2.69
Graham,Republican,Ted Cruz,1606,3.01
Wayne,Democrat,Hillary Clinton,7546,2.54
Campbell,Democrat,Hillary Clinton,3169,2.49
St. Clair,Republican,Donald Trump,962,2.28
Grant,Republican,Donald Trump,5992,2.39
Fillmore,Republican,Donald Trump,574,2.28
Davis,Republican,Donald Trump,205,2.76
Craighead,Republican,Ted Cruz,4108,2.51
Starr,Democrat,Hillary Clinton,6918,3.81
Pickens,Democrat,Hillary Clinton,2326,2.42
Oktibbeha,Democrat,Hillary Clinton,2389,2.42
Twin Falls,Republican,Ted Cruz,4717,2.72
Boyle,Democrat,Hillary Clinton,1648,2.38
Citrus,Republican,Donald Trump,15232,2.29
Murray,Democrat,Bernie Sanders,909,2.58
Mohave,Republican,Donald Trump,14154,2.43
Morgan,Republican,Donald Trump,10909,2.55
Las Animas,Democrat,Bernie Sanders,106,2.43
Haskell,Democrat,Bernie Sanders,752,2.7
Marion,Republican,Donald Trump,31370,2.43
Multnomah,Democrat,Bernie Sanders,87247,2.39
LeFlore,Democrat,Bernie Sanders,2283,2.63
Dallas,Democrat,Hillary Clinton,693,2.32
Hall,Republican,Donald Trump,3818,2.64
Walker,Republican,Donald Trump,4208,2.57
Pierce,Democrat,Bernie Sanders,3199,2.53
Manassas,Democrat,Hillary Clinton,1812,3.24
Coffee,Republican,Donald Trump,4304,2.65
Travis,Democrat,Bernie Sanders,73889,2.53
Crowley,Democrat,Bernie Sanders,16,3.4
Montgomery,Republican,Donald Trump,1192,2.31
Caddo,Democrat,Hillary Clinton,16666,2.53
Marlboro,Democrat,Hillary Clinton,2132,2.58
Anson,Democrat,Hillary Clinton,2307,2.52
Custer,Republican,Donald Trump,1363,2.28
Franklin,Republican,Donald Trump,3487,2.67
Troup,Republican,Donald Trump,4140,2.7
Washington,Republican,Donald Trump,1739,2.63
Clark,Democrat,Hillary Clinton,1650,2.41
Lake,Democrat,Hillary Clinton,43091,2.68
Wolfe,Democrat,Bernie Sanders,499,2.58
LaRue,Democrat,Bernie Sanders,910,2.66
Worth,Republican,Donald Trump,224,2.2
Garfield,Republican,Donald Trump,227,2.21
Madison,Republican,Donald Trump,7540,2.63
Franklin,Democrat,Bernie Sanders,5398,2.25
Calcasieu,Democrat,Hillary Clinton,6594,2.57
Clark,Republican,Donald Trump,545,2.53
Warren,Democrat,Hillary Clinton,3463,2.6
Gosper,Republican,Donald Trump,259,2.57
Audrain,Republican,Ted Cruz,1642,2.54
Clark,Republican,Donald Trump,1484,2.44
Alcorn,Republican,Donald Trump,2901,2.5
Bremer,Democrat,Hillary Clinton,640,2.46
Johnson,Republican,Donald Trump,1338,2.49
Gwinnett,Democrat,Hillary Clinton,37465,3.07
Madison,Republican,Donald Trump,2280,2.44
Falls Church,Democrat,Hillary Clinton,1587,2.53
Decatur,Republican,Donald Trump,1525,2.51
Washakie,Democrat,Hillary Clinton,2,2.4
Prince Edward,Democrat,Hillary Clinton,1366,2.48
Warren,Democrat,Hillary Clinton,468,2.55
Meriwether,Democrat,Hillary Clinton,1463,2.62
Benton,Democrat,Bernie Sanders,11567,2.42
Eagle,Democrat,Bernie Sanders,623,2.9
Mackinac,Republican,Donald Trump,856,2.17
Jasper,Democrat,Hillary Clinton,1976,2.38
Carroll,Republican,Donald Trump,16534,2.73
Switzerland,Republican,Donald Trump,858,2.54
Gilpin,Democrat,Bernie Sanders,173,2.16
Adams,Democrat,Bernie Sanders,3279,2.93
Montgomery,Democrat,Hillary Clinton,75333,2.55
Florence,Democrat,Hillary Clinton,9411,2.61
Hardeman,Democrat,Hillary Clinton,1721,2.69
Charles,Democrat,Hillary Clinton,15132,2.88
Richland,Democrat,Hillary Clinton,39243,2.5
Story,Democrat,Bernie Sanders,2737,2.34
Sanilac,Republican,Donald Trump,3279,2.58
Mecosta,Republican,Donald Trump,2113,2.55
Lincoln,Democrat,Bernie Sanders,4674,2.17
Prairie,Republican,Donald Trump,269,2.31
Starke,Republican,Donald Trump,2456,2.58
Judith Basin,Republican,Donald Trump,421,2.32
Mercer,Republican,Ted Cruz,1073,2.4
Telfair,Republican,Donald Trump,626,2.27
Weld,Democrat,Bernie Sanders,1647,2.79
Decatur,Republican,Donald Trump,3319,2.61
Pike,Democrat,Bernie Sanders,4848,2.41
Jenkins,Republican,Donald Trump,513,2.54
DeWitt,Republican,Donald Trump,1577,2.38
Hampton,Democrat,Hillary Clinton,1930,2.6
St. Mary's,Republican,Donald Trump,6576,2.77
Menominee,Democrat,Bernie Sanders,355,3.47
Ulster,Democrat,Bernie Sanders,11572,2.44
Tallahatchie,Democrat,Hillary Clinton,1341,2.58
Franklin,Democrat,Hillary Clinton,650,2.49
Delaware,Democrat,Hillary Clinton,44775,2.62
Burke,Democrat,Hillary Clinton,1659,2.91
Delta,Republican,Donald Trump,1954,2.29
Carlisle,Democrat,Bernie Sanders,462,2.46
Mitchell,Democrat,Hillary Clinton,1338,2.61
Comanche,Democrat,Bernie Sanders,3804,2.59
Sandoval,Democrat,Hillary Clinton,7448,2.82
Clinch,Republican,Donald Trump,412,2.53
Cedar,Republican,Donald Trump,775,2.45
Assumption,Democrat,Hillary Clinton,1139,2.68
Cass,Republican,Donald Trump,680,2.59
Milwaukee,Democrat,Hillary Clinton,100932,2.45
Nueces,Democrat,Hillary Clinton,15662,2.72
Livingston,Republican,Donald Trump,4918,2.8
Osage,Democrat,Hillary Clinton,2390,2.5
Jefferson,Democrat,Hillary Clinton,64090,2.39
Monroe,Democrat,Hillary Clinton,1191,2.37
Manatee,Republican,Donald Trump,26320,2.48
Terrell,Democrat,Hillary Clinton,804,2.66
Barrow,Republican,Donald Trump,4653,2.97
