"county","party","candidate","votes","veterans_factor"
Presidio,Democrat,Hillary Clinton,776,0.05
Peach,Democrat,Hillary Clinton,1675,0.09
Harrison,Republican,Donald Trump,12555,0.11
Siskiyou,Republican,Donald Trump,3573,0.11
Sampson,Democrat,Hillary Clinton,3790,0.07
Sanders,Republican,Donald Trump,1992,0.14
Crowley,Democrat,Bernie Sanders,16,0.08
Owyhee,Republican,Ted Cruz,717,0.08
Nash,Democrat,Hillary Clinton,8554,0.07
Dallas,Democrat,Hillary Clinton,8577,0.07
Flagler,Republican,Donald Trump,9684,0.11
Yavapai,Republican,Donald Trump,17005,0.13
Knox,Republican,Donald Trump,642,0.10
Yell,Republican,Donald Trump,911,0.06
Lake,Democrat,Bernie Sanders,165,0.07
Boone,Republican,Donald Trump,740,0.10
Manistee,Democrat,Bernie Sanders,1646,0.12
Estill,Democrat,Hillary Clinton,446,0.06
Carroll,Republican,Marco Rubio,0,0.11
Floyd,Democrat,Bernie Sanders,4010,0.05
Monroe,Democrat,Hillary Clinton,37309,0.06
Beauregard,Republican,Ted Cruz,1363,0.10
Hancock,Democrat,Bernie Sanders,573,0.10
Floyd,Republican,Donald Trump,5945,0.08
Van Buren,Republican,Donald Trump,1198,0.11
Effingham,Republican,Donald Trump,3648,0.08
Bay,Democrat,Bernie Sanders,6363,0.08
Pulaski,Democrat,Hillary Clinton,34862,0.08
Logan,Republican,Ted Cruz,2361,0.08
Wilkinson,Democrat,Hillary Clinton,1269,0.04
Crawford,Republican,Donald Trump,2189,0.11
Ouachita,Democrat,Hillary Clinton,8995,0.06
Coal,Democrat,Bernie Sanders,456,0.09
Moody,Democrat,Hillary Clinton,262,0.09
Jasper,Republican,Donald Trump,1205,0.06
Wayne,Democrat,Hillary Clinton,7546,0.10
Montgomery,Democrat,Hillary Clinton,75333,0.06
Vigo,Republican,Donald Trump,8539,0.07
Noble,Republican,Donald Trump,4422,0.07
Scott,Republican,Donald Trump,1929,0.07
Lanier,Republican,Donald Trump,512,0.08
Huerfano,Democrat,Bernie Sanders,150,0.13
Hitchcock,Republican,Donald Trump,305,0.11
O'Brien,Republican,Ted Cruz,347,0.08
Cotton,Democrat,Bernie Sanders,388,0.10
El Paso,Democrat,Hillary Clinton,36067,0.06
Washington,Republican,Ted Cruz,542,0.07
Deer Lodge,Democrat,Hillary Clinton,986,0.13
Campbell,Democrat,Hillary Clinton,3169,0.07
Winneshiek,Democrat,Bernie Sanders,616,0.07
Jefferson,Democrat,Bernie Sanders,8281,0.08
Newton,Republican,Donald Trump,1073,0.11
Kosciusko,Republican,Donald Trump,8748,0.06
Webb,Democrat,Hillary Clinton,18559,0.02
San Mateo,Democrat,Hillary Clinton,47358,0.04
Isabella,Democrat,Bernie Sanders,4024,0.05
Wilkinson,Democrat,Hillary Clinton,832,0.07
Day,Democrat,Hillary Clinton,343,0.10
Wayne,Republican,Ted Cruz,171,0.09
Sioux,Republican,Ted Cruz,1524,0.05
Camden,Republican,Donald Trump,3065,0.13
Blaine,Republican,Donald Trump,543,0.06
DeKalb,Republican,Donald Trump,800,0.10
Lincoln,Democrat,Hillary Clinton,1692,0.05
Vermilion,Republican,Donald Trump,1460,0.06
Gates,Democrat,Hillary Clinton,749,0.10
Marshall,Republican,Ted Cruz,1095,0.09
Greeley,Republican,Donald Trump,125,0.11
Palo Alto,Democrat,Hillary Clinton,213,0.09
Montgomery,Republican,Donald Trump,712,0.06
Hopewell,Democrat,Hillary Clinton,1177,0.08
Washington,Democrat,Hillary Clinton,1511,0.06
Schuyler,Republican,Donald Trump,428,0.07
Twiggs,Democrat,Hillary Clinton,818,0.07
Washtenaw,Democrat,Bernie Sanders,38063,0.05
Mesa,Democrat,Bernie Sanders,1095,0.09
Monroe,Democrat,Hillary Clinton,843,0.08
Carroll,Democrat,Hillary Clinton,0,0.11
Decatur,Republican,Ted Cruz,173,0.07
Quitman,Democrat,Hillary Clinton,986,0.06
Pinellas,Democrat,Hillary Clinton,63699,0.10
Boone,Republican,Donald Trump,3816,0.06
Adams,Republican,Donald Trump,5233,0.09
Benewah,Republican,Ted Cruz,671,0.11
Winston,Democrat,Hillary Clinton,1442,0.06
Pontotoc,Democrat,Bernie Sanders,2392,0.08
Webster,Democrat,Bernie Sanders,1169,0.08
Lapeer,Republican,Donald Trump,7446,0.07
Moniteau,Republican,Ted Cruz,1374,0.08
Franklin,Republican,Donald Trump,333,0.12
Pocahontas,Democrat,Hillary Clinton,198,0.09
Genesee,Democrat,Hillary Clinton,31284,0.07
Whiteside,Democrat,Bernie Sanders,3102,0.09
Weld,Democrat,Bernie Sanders,1647,0.06
Jackson,Republican,Donald Trump,5484,0.06
Clay,Democrat,Hillary Clinton,2372,0.06
Brown,Republican,Donald Trump,2202,0.11
Franklin,Republican,Donald Trump,1229,0.09
Neshoba,Republican,Donald Trump,2249,0.06
Phillips,Democrat,Hillary Clinton,2696,0.06
Bartholomew,Republican,Donald Trump,7918,0.07
Dewey,Democrat,Bernie Sanders,342,0.05
Jasper,Republican,Ted Cruz,928,0.08
Nevada,Democrat,Hillary Clinton,647,0.09
Hall,Republican,Donald Trump,3818,0.07
Greene,Democrat,Hillary Clinton,1643,0.07
Ohio,Republican,Donald Trump,786,0.09
Dorchester,Republican,Donald Trump,2744,0.10
Boyd,Democrat,Bernie Sanders,2262,0.09
Banner,Republican,Donald Trump,108,0.09
Lafayette,Democrat,Hillary Clinton,443,0.08
Wapello,Democrat,Hillary Clinton,817,0.07
Saguache,Democrat,Bernie Sanders,219,0.08
Mercer,Republican,Ted Cruz,1073,0.09
Clarke,Democrat,Hillary Clinton,7089,0.05
Monterey,Democrat,Hillary Clinton,17126,0.05
Lafourche,Republican,Donald Trump,2725,0.05
Jasper,Democrat,Hillary Clinton,1976,0.06
Palm Beach,Democrat,Hillary Clinton,103369,0.07
Alachua,Democrat,Hillary Clinton,17733,0.07
Queen Anne's,Republican,Donald Trump,5195,0.09
Hudspeth,Democrat,Hillary Clinton,147,0.06
Lancaster,Republican,Donald Trump,13251,0.07
Graham,Republican,Ted Cruz,1606,0.07
Baltimore City,Democrat,Hillary Clinton,81115,0.06
Lincoln,Republican,Donald Trump,2950,0.06
Barrow,Republican,Donald Trump,4653,0.07
Madison,Democrat,Hillary Clinton,4351,0.07
Union,Democrat,Bernie Sanders,268,0.08
Comanche,Democrat,Bernie Sanders,3804,0.13
St. Martin,Democrat,Hillary Clinton,1869,0.06
Powell,Republican,Donald Trump,818,0.13
Gloucester,Democrat,Hillary Clinton,17954,0.07
Routt,Democrat,Bernie Sanders,406,0.05
Jefferson,Democrat,Hillary Clinton,64090,0.07
Lake,Republican,Donald Trump,803,0.11
Crook,Democrat,Hillary Clinton,1,0.07
Frio,Democrat,Hillary Clinton,1864,0.05
Camden,Republican,Donald Trump,5467,0.12
Bolivar,Democrat,Hillary Clinton,3029,0.04
Alcorn,Republican,Donald Trump,2901,0.06
Mitchell,Democrat,Hillary Clinton,1338,0.07
Fremont,Republican,Donald Trump,182,0.11
Houston,Republican,Donald Trump,8171,0.09
Perry,Democrat,Bernie Sanders,1666,0.06
Person,Democrat,Hillary Clinton,2954,0.07
Chesterfield,Democrat,Hillary Clinton,2209,0.07
Sullivan,Republican,Donald Trump,510,0.07
Lincoln,Republican,Donald Trump,4144,0.07
Natrona,Democrat,Hillary Clinton,20,0.08
Henry,Democrat,Bernie Sanders,958,0.06
Gila,Republican,Donald Trump,3065,0.12
Hopkins,Democrat,Bernie Sanders,2696,0.08
Cedar,Democrat,Bernie Sanders,445,0.09
Bartow,Republican,Donald Trump,8281,0.06
Craighead,Republican,Ted Cruz,4108,0.07
Madison,Democrat,Hillary Clinton,1542,0.08
Webster,Republican,Ted Cruz,4124,0.08
Mills,Republican,Donald Trump,300,0.09
