"county","party","candidate","votes","above_65"
Bradford,Republican,Donald Trump,1802,17.6
Peoria,Democrat,Hillary Clinton,11341,15.0
Mason,Republican,Donald Trump,1785,21.2
Kinney,Democrat,Hillary Clinton,211,25.3
Santa Cruz,Democrat,Bernie Sanders,25171,13.5
Dundy,Republican,Donald Trump,219,23.3
San Luis Obispo,Republican,Donald Trump,19313,17.5
Screven,Republican,Donald Trump,801,16.8
Ashland,Democrat,Bernie Sanders,2304,17.5
Cameron,Democrat,Hillary Clinton,20326,12.4
Maui,Democrat,Bernie Sanders,4419,15.1
Oceana,Republican,Ted Cruz,1698,19.1
Mayes,Democrat,Bernie Sanders,2144,17.1
Saline,Republican,Ted Cruz,7507,17.1
Oconee,Republican,Donald Trump,2871,13.5
Pasco,Republican,Donald Trump,33536,22.5
Poinsett,Republican,Donald Trump,1036,17.1
Iowa,Democrat,Bernie Sanders,3198,16.7
Flagler,Republican,Donald Trump,9684,28.4
Hudspeth,Democrat,Hillary Clinton,147,17.2
Kent,Democrat,Bernie Sanders,43375,12.2
Calhoun,Democrat,Hillary Clinton,499,12.5
McCone,Republican,Donald Trump,410,22.5
Bibb,Republican,Donald Trump,1959,14.8
Effingham,Republican,Donald Trump,3648,10.8
Jefferson,Democrat,Hillary Clinton,1550,13.9
Banner,Republican,Donald Trump,108,29.6
Atchison,Republican,Donald Trump,487,23.8
Bremer,Democrat,Hillary Clinton,640,18.4
Huntington,Republican,Donald Trump,4100,15.9
Burt,Republican,Donald Trump,603,23.9
Coffee,Republican,Donald Trump,4304,15.9
Humphreys,Democrat,Hillary Clinton,2894,14.2
Webster,Democrat,Bernie Sanders,1169,16.4
King and Queen,Democrat,Hillary Clinton,477,20.6
Emanuel,Republican,Donald Trump,1489,15.8
Bay,Republican,Donald Trump,14426,16.1
Dale,Republican,Donald Trump,4151,15.4
Gladwin,Republican,Donald Trump,1774,25.1
Jeff Davis,Republican,Donald Trump,1071,14.2
Orange,Republican,Donald Trump,2574,17.5
Scotland,Republican,Donald Trump,395,18.9
Meriwether,Democrat,Hillary Clinton,1463,18.6
Fredericksburg,Democrat,Hillary Clinton,1396,10.1
Aurora,Democrat,Hillary Clinton,150,19.7
Richland,Democrat,Bernie Sanders,1784,19.5
Greene,Democrat,Hillary Clinton,2714,17.9
Douglas,Republican,Donald Trump,23754,11.5
Clay,Democrat,Hillary Clinton,623,11.2
Forsyth,Democrat,Hillary Clinton,24446,14.4
Gilchrist,Republican,Donald Trump,1860,19.4
Bollinger,Republican,Donald Trump,1272,18.0
Mitchell,Democrat,Hillary Clinton,1338,14.9
Taylor,Democrat,Hillary Clinton,140,21.1
Otsego,Democrat,Bernie Sanders,2623,18.6
Jasper,Republican,Donald Trump,3903,15.8
Franklin,Democrat,Hillary Clinton,665,20.1
Caldwell,Republican,Donald Trump,780,18.9
Scott,Democrat,Hillary Clinton,2505,10.7
Miller,Republican,Donald Trump,2482,18.0
Winston,Democrat,Hillary Clinton,1442,17.4
Columbia,Democrat,Bernie Sanders,6455,16.2
Tulare,Republican,Donald Trump,15334,10.4
Gem,Republican,Ted Cruz,1391,21.4
Dodge,Republican,Donald Trump,1360,15.2
Clark,Republican,Donald Trump,10635,14.3
St. Louis County,Democrat,Hillary Clinton,89373,16.5
Little River,Democrat,Hillary Clinton,721,19.5
Alpena,Republican,Donald Trump,1885,21.5
Frio,Democrat,Hillary Clinton,1864,11.6
Tangipahoa,Democrat,Hillary Clinton,4267,12.8
Clarke,Democrat,Hillary Clinton,232,17.6
Kootenai,Republican,Ted Cruz,11924,17.0
Livingston,Republican,Donald Trump,15359,14.7
St. Mary's,Republican,Donald Trump,6576,12.0
Perry,Republican,Donald Trump,1642,16.6
San Diego,Democrat,Hillary Clinton,139813,12.7
Fayette,Democrat,Hillary Clinton,9184,19.4
DeKalb,Democrat,Hillary Clinton,82348,10.4
Choctaw,Democrat,Hillary Clinton,1772,20.8
Salt Lake,Democrat,Bernie Sanders,35610,9.6
