"county","party","candidate","votes","above_65"
Pitt,Democrat,Hillary Clinton,11856,11.3
Whitfield,Republican,Donald Trump,5945,12.7
Jones,Democrat,Hillary Clinton,910,21.7
Tunica,Democrat,Hillary Clinton,904,10.2
Warren,Republican,Donald Trump,1321,18.7
Wetzel,Democrat,Bernie Sanders,1744,21.4
Morrill,Republican,Donald Trump,695,18.2
Bolivar,Democrat,Hillary Clinton,3029,13.7
Pitkin,Democrat,Bernie Sanders,421,15.6
Telfair,Republican,Donald Trump,626,15.3
Winneshiek,Democrat,Bernie Sanders,616,18.1
Menominee,Republican,Donald Trump,1304,21.6
McLean,Democrat,Bernie Sanders,628,18.6
Clinton,Republican,Donald Trump,3252,15.8
Monroe,Republican,Donald Trump,698,20.8
Kit Carson,Democrat,Bernie Sanders,16,17.2
Red River,Democrat,Hillary Clinton,530,16.6
Richland,Democrat,Hillary Clinton,39243,11.3
Cumberland,Republican,Donald Trump,460,20.7
Metcalfe,Democrat,Bernie Sanders,582,17.6
Linn,Democrat,Bernie Sanders,6331,14.3
Essex,Democrat,Hillary Clinton,642,20.4
Trumbull,Democrat,Hillary Clinton,17903,19.4
Barton,Republican,Ted Cruz,1560,18.6
Clay,Republican,Donald Trump,887,13.5
Chesterfield,Democrat,Hillary Clinton,22674,12.8
Pittsburg,Democrat,Bernie Sanders,3026,18.1
Hamilton,Democrat,Hillary Clinton,758,15.9
Lincoln,Republican,Donald Trump,3073,24.8
Lincoln,Democrat,Hillary Clinton,779,16.7
Wayne,Republican,Donald Trump,1735,15.7
Powder River,Republican,Donald Trump,516,23.6
Bronx,Democrat,Hillary Clinton,95772,11.2
Hughes,Democrat,Bernie Sanders,873,18.8
Morgan,Republican,Donald Trump,1976,23.7
Chaffee,Democrat,Bernie Sanders,404,23.0
Cass,Republican,Donald Trump,2859,19.4
Edgecombe,Democrat,Hillary Clinton,6411,16.9
Garfield,Republican,Donald Trump,357,22.6
Hardin,Republican,Donald Trump,496,23.3
Lincoln,Democrat,Hillary Clinton,20,17.4
Sanders,Republican,Donald Trump,1992,26.0
Winnebago,Democrat,Bernie Sanders,17818,14.7
Elbert,Democrat,Bernie Sanders,144,13.9
Crook,Democrat,Hillary Clinton,1,18.0
Garden,Republican,Donald Trump,372,27.7
Kent,Democrat,Hillary Clinton,1460,24.4
Floyd,Democrat,Bernie Sanders,4010,16.0
Upson,Republican,Donald Trump,1910,17.8
Trinity,Republican,Donald Trump,1026,24.0
Calhoun,Democrat,Bernie Sanders,200,22.3
Lyon,Democrat,Bernie Sanders,561,23.4
Cass,Republican,Ted Cruz,7671,15.5
Chickasaw,Democrat,Hillary Clinton,1398,15.6
San Joaquin,Democrat,Hillary Clinton,25118,11.8
Chicot,Democrat,Hillary Clinton,1370,19.2
Custer,Republican,Donald Trump,430,23.8
Union,Republican,Donald Trump,875,16.9
Columbia,Republican,Donald Trump,4019,17.3
Randolph,Republican,Donald Trump,2352,19.6
Macon,Democrat,Hillary Clinton,977,14.9
Caddo,Democrat,Bernie Sanders,1543,15.6
Boise,Republican,Donald Trump,691,21.3
Knott,Democrat,Bernie Sanders,1114,15.8
Christian,Republican,Donald Trump,2392,18.6
Indian River,Republican,Donald Trump,13678,30.0
Hancock,Republican,Donald Trump,9520,15.1
Manistee,Democrat,Bernie Sanders,1646,23.4
Virginia Beach,Democrat,Hillary Clinton,22352,12.3
Leelanau,Democrat,Bernie Sanders,2359,27.7
Sumter,Democrat,Hillary Clinton,1960,14.8
Valley,Republican,Donald Trump,1250,20.8
Yuba,Republican,Donald Trump,3210,11.4
Montezuma,Democrat,Bernie Sanders,412,19.1
Henry,Republican,Donald Trump,1778,20.8
Union,Republican,Donald Trump,2169,15.7
Muscogee,Democrat,Hillary Clinton,12801,12.0
Lincoln,Republican,Ted Cruz,276,12.3
Bartow,Republican,Donald Trump,8281,12.8
Conway,Democrat,Hillary Clinton,1755,18.3
Towns,Republican,Donald Trump,1356,32.2
Cumberland,Democrat,Hillary Clinton,6875,13.6
St. Louis City,Democrat,Hillary Clinton,34458,11.4
Ringgold,Democrat,Hillary Clinton,132,25.3
Saginaw,Democrat,Hillary Clinton,12348,17.3
Petroleum,Republican,Donald Trump,167,21.0
Dodge,Republican,Donald Trump,2760,19.0
Okaloosa,Republican,Donald Trump,17770,15.1
Baltimore City,Democrat,Hillary Clinton,81115,12.3
Boone,Democrat,Bernie Sanders,715,17.0
Benton,Democrat,Hillary Clinton,672,16.9
Crawford,Republican,Donald Trump,1508,18.3
Tift,Republican,Donald Trump,2697,14.0
