"county","party","candidate","votes","more_language"
San Benito,Democrat,Hillary Clinton,2022,38.6
Lucas,Republican,Ted Cruz,213,10.2
Oktibbeha,Democrat,Hillary Clinton,2389,5.5
Putnam,Republican,Donald Trump,565,1.9
Washington,Democrat,Hillary Clinton,1374,2.4
Boone,Democrat,Bernie Sanders,2410,0.5
Campbell,Democrat,Bernie Sanders,12,6.3
Howard,Republican,Donald Trump,559,12.4
Greene,Democrat,Hillary Clinton,2714,1.4
LaClede,Republican,Donald Trump,3493,2.5
Johnson,Republican,Donald Trump,1075,1.1
Lowndes,Republican,Donald Trump,5194,5.7
Warren,Democrat,Hillary Clinton,1217,2.2
Minidoka,Republican,Ted Cruz,1163,27.6
Stone,Republican,Donald Trump,993,1.3
Lewis and Clark,Republican,Donald Trump,6194,3.6
Scott,Republican,Donald Trump,1929,2.0
Calcasieu,Democrat,Hillary Clinton,6594,7.5
West Feliciana,Democrat,Hillary Clinton,902,2.4
Jasper,Democrat,Hillary Clinton,927,2.7
Archuleta,Democrat,Bernie Sanders,156,10.7
Polk,Republican,Donald Trump,1895,4.7
Holmes,Democrat,Hillary Clinton,3301,0.6
Yell,Republican,Donald Trump,911,19.1
Charles,Democrat,Hillary Clinton,15132,7.2
Baltimore,Democrat,Hillary Clinton,73099,13.1
West Baton Rouge,Democrat,Hillary Clinton,2178,4.1
Warrick,Republican,Donald Trump,7450,3.6
Jefferson,Democrat,Bernie Sanders,8281,10.3
Cooper,Republican,Ted Cruz,1369,3.2
Delta,Democrat,Bernie Sanders,417,9.8
Jackson,Republican,Donald Trump,8113,3.5
Bronx,Democrat,Hillary Clinton,95772,57.1
Catahoula,Democrat,Hillary Clinton,431,2.0
Greeley,Republican,Donald Trump,125,0.7
St. James,Democrat,Hillary Clinton,2114,4.4
Mercer,Republican,Donald Trump,455,7.6
Pike,Republican,Donald Trump,2493,5.8
Covington,Republican,Donald Trump,4608,2.1
Wells,Republican,Ted Cruz,3826,3.2
Shelby,Democrat,Hillary Clinton,2195,8.9
Glascock,Republican,Donald Trump,405,1.3
Lunenburg,Democrat,Hillary Clinton,738,4.7
Effingham,Republican,Ted Cruz,3448,2.2
Putnam,Democrat,Bernie Sanders,504,4.5
Fremont,Democrat,Bernie Sanders,268,11.0
Washington,Republican,Ted Cruz,542,8.7
Lonoke,Republican,Ted Cruz,4028,2.5
Martinsville,Democrat,Hillary Clinton,834,5.2
Prince George's,Democrat,Hillary Clinton,113912,20.8
Todd,Democrat,Bernie Sanders,507,8.9
Passaic,Democrat,Hillary Clinton,29538,47.7
Powell,Democrat,Bernie Sanders,744,1.3
Crook,Democrat,Hillary Clinton,1,1.3
Fairfax City,Democrat,Hillary Clinton,1840,31.8
Washington,Democrat,Hillary Clinton,1663,4.3
Gilpin,Democrat,Bernie Sanders,173,4.3
Owen,Democrat,Bernie Sanders,720,0.9
Custer,Republican,Donald Trump,1306,2.2
Fremont,Democrat,Bernie Sanders,10,7.3
Peoria,Democrat,Hillary Clinton,11341,7.4
Rankin,Republican,Donald Trump,13729,4.2
Iberville,Democrat,Hillary Clinton,3699,3.8
Rabun,Republican,Donald Trump,1732,9.5
Chouteau,Republican,Donald Trump,865,2.6
Macoupin,Democrat,Bernie Sanders,3552,2.3
Comanche,Democrat,Bernie Sanders,3804,11.5
Barbour,Democrat,Hillary Clinton,2567,5.0
Twin Falls,Republican,Ted Cruz,4717,14.4
Nemaha,Republican,Donald Trump,472,2.8
Nance,Republican,Donald Trump,310,2.0
Hillsdale,Republican,Donald Trump,3060,4.9
Tunica,Democrat,Hillary Clinton,904,4.7
Prince George,Democrat,Hillary Clinton,1992,7.7
Vanderburgh,Republican,Donald Trump,14544,4.0
Robertson,Democrat,Bernie Sanders,177,2.2
Platte,Republican,Ted Cruz,5798,7.3
Brooke,Democrat,Bernie Sanders,1966,1.7
Dundy,Republican,Donald Trump,219,6.7
Imperial,Democrat,Hillary Clinton,5743,74.5
Cheyenne,Democrat,Hillary Clinton,5,11.4
Bureau,Republican,Donald Trump,2185,7.5
Kankakee,Republican,Donald Trump,6403,8.3
Walton,Republican,Donald Trump,6650,7.5
Shelby,Republican,Donald Trump,18260,8.3
Cape Girardeau,Republican,Ted Cruz,7332,3.9
Thomas,Republican,Donald Trump,2649,4.1
Tate,Republican,Ted Cruz,2034,2.5
Barry,Republican,Ted Cruz,3189,8.0
Gulf,Republican,Donald Trump,1038,4.6
Butler,Democrat,Bernie Sanders,350,2.0
Columbia,Democrat,Bernie Sanders,4221,4.9
Pike,Republican,Donald Trump,1241,3.4
Wayne,Republican,Donald Trump,6116,5.0
McCracken,Democrat,Bernie Sanders,3541,3.2
Marion,Democrat,Bernie Sanders,5324,2.1
Shelby,Republican,Donald Trump,579,2.8
Fayette,Republican,Donald Trump,1933,2.7
Larimer,Democrat,Bernie Sanders,6664,9.0
Mackinac,Republican,Donald Trump,856,4.4
Logan,Democrat,Hillary Clinton,77,10.5
Kossuth,Democrat,Hillary Clinton,360,2.4
Henry,Republican,Donald Trump,3021,4.4
Floyd,Democrat,Hillary Clinton,453,5.1
Charlottesville,Democrat,Bernie Sanders,4474,13.9
Guadalupe,Democrat,Hillary Clinton,399,53.3
Huron,Republican,Donald Trump,2346,3.3
Clark,Democrat,Bernie Sanders,1888,2.3
Lowndes,Democrat,Hillary Clinton,4030,4.1
Hancock,Republican,Ted Cruz,385,2.9
Hot Spring,Republican,Donald Trump,1597,1.7
Martin,Democrat,Hillary Clinton,2469,3.7
Lincoln,Democrat,Bernie Sanders,1510,0.9
Santa Cruz,Democrat,Bernie Sanders,25171,31.0
Charles City,Democrat,Hillary Clinton,863,2.0
Kemper,Democrat,Hillary Clinton,1008,3.8
Perry,Republican,Donald Trump,1461,3.0
Schley,Republican,Donald Trump,331,7.7
Brown,Republican,Donald Trump,555,2.2
Franklin,Republican,Donald Trump,2155,13.2
Adams,Republican,Donald Trump,5233,2.9
Bear Lake,Republican,Ted Cruz,643,3.3
Lincoln,Democrat,Bernie Sanders,3,4.3
Coal,Democrat,Bernie Sanders,456,8.0
Queens,Democrat,Hillary Clinton,122386,56.5
Clinton,Republican,Donald Trump,1635,1.2
Simpson,Republican,Donald Trump,2420,2.2
Phelps,Republican,Donald Trump,963,3.4
Bonneville,Republican,Ted Cruz,7794,10.5
Musselshell,Republican,Donald Trump,1032,5.0
Franklin,Republican,Donald Trump,3487,1.9
Gem,Republican,Ted Cruz,1391,8.4
Jennings,Republican,Donald Trump,3361,2.8
Glynn,Republican,Donald Trump,5516,9.5
Shannon,Republican,Donald Trump,808,2.4
Saint Lawrence,Democrat,Bernie Sanders,4102,7.2
Jackson,Republican,Donald Trump,711,1.7
Sheridan,Republican,Donald Trump,499,2.0
Rio Blanco,Democrat,Bernie Sanders,18,10.0
Greene,Republican,Donald Trump,1555,4.4
Washington,Democrat,Hillary Clinton,1741,2.2
Steuben,Republican,Donald Trump,3973,3.7
Cuyahoga,Democrat,Hillary Clinton,125914,11.3
Delaware,Democrat,Hillary Clinton,440,2.3
Menard,Republican,Ted Cruz,1064,1.6
Clinton,Democrat,Bernie Sanders,4524,4.6
Washington,Democrat,Hillary Clinton,9110,18.0
Platte,Republican,Donald Trump,2902,14.2
Anson,Democrat,Hillary Clinton,2307,4.9
Randolph,Republican,Donald Trump,2939,2.7
Niobrara,Democrat,Bernie Sanders,2,1.4
Dixon,Republican,Donald Trump,513,8.5
Iberia,Democrat,Hillary Clinton,2171,12.9
White,Republican,Donald Trump,3044,6.0
Carroll,Republican,Donald Trump,1004,1.9
Zapata,Democrat,Hillary Clinton,1969,87.2
Lee,Republican,Donald Trump,2153,5.1
Sussex,Democrat,Hillary Clinton,958,2.5
Southampton,Democrat,Hillary Clinton,1199,2.0
Wakulla,Republican,Donald Trump,1664,5.1
