county;party;candidate;votes;income
Webster;Democrat;Hillary Clinton;1878;19871
Webster;Republican;Donald Trump;1191;18728
Weld;Democrat;Bernie Sanders;1647;25468
West Baton Rouge;Democrat;Hillary Clinton;2178;24838
West Carroll;Republican;Ted Cruz;342;17980
West Feliciana;Democrat;Hillary Clinton;902;21720
Westchester;Democrat;Hillary Clinton;69628;47984
Weston;Democrat;Bernie Sanders;1;28764
Weston;Democrat;Hillary Clinton;1;28764
Wetzel;Democrat;Bernie Sanders;1744;21653
Wexford;Republican;Donald Trump;2578;20573
Wheatland;Republican;Donald Trump;380;17336
Wheeler;Republican;Donald Trump;79;25898
Wheeler;Republican;Donald Trump;283;8948
Wheeler;Republican;Ted Cruz;781;30097
White;Republican;Donald Trump;2092;18205
White;Republican;Donald Trump;2715;22059
White;Republican;Donald Trump;3044;23666
White Pine;Republican;Donald Trump;172;24435
Whiteside;Democrat;Bernie Sanders;3102;24525
Whitley;Republican;Ted Cruz;4064;24613
Whitman;Republican;Donald Trump;2071;21208
Wibaux;Republican;Donald Trump;231;27492
Wicomico;Republican;Donald Trump;6998;25378
Wilbarger;Republican;Ted Cruz;923;20373
Wilcox;Democrat;Hillary Clinton;3337;13379
Wilkes;Republican;Donald Trump;734;17120
Wilkes;Republican;Donald Trump;5889;19029
Wilkinson;Democrat;Hillary Clinton;832;17228
Wilkinson;Democrat;Hillary Clinton;1269;18717
Will;Democrat;Bernie Sanders;46305;30377
Willacy;Democrat;Hillary Clinton;2072;11313
Williamsburg;Democrat;Bernie Sanders;1197;23127
Williamsburg;Democrat;Hillary Clinton;4609;14845
Wilson;Democrat;Hillary Clinton;6408;20972
Wilson;Republican;Ted Cruz;4273;27238
Winchester;Democrat;Hillary Clinton;949;26060
Winn;Democrat;Hillary Clinton;488;16789
Winnebago;Democrat;Bernie Sanders;230;24547
Winnebago;Democrat;Bernie Sanders;16715;24495
Winnebago;Democrat;Bernie Sanders;17818;26955
Winneshiek;Democrat;Bernie Sanders;616;25062
Winston;Democrat;Hillary Clinton;1442;18501
Wise;Republican;Donald Trump;2093;19107
Wise;Republican;Ted Cruz;5513;25663
Wolfe;Democrat;Bernie Sanders;499;14157
Woodbury;Democrat;Bernie Sanders;1920;23269
Woodford;Democrat;Bernie Sanders;1918;29277
Woodruff;Democrat;Hillary Clinton;862;19087
Woods;Republican;Ted Cruz;574;26022
Woodward;Republican;Ted Cruz;1235;24922
Worth;Democrat;Bernie Sanders;218;26187
Wright;Democrat;Hillary Clinton;273;25827
Wright;Republican;Donald Trump;1874;14752
Wyandot;Republican;John Kasich;1896;22382
Wyoming;Republican;Donald Trump;2668;22700
Yalobusha;Democrat;Hillary Clinton;1214;18750
Yancey;Democrat;Bernie Sanders;1386;20257
Yankton;Democrat;Hillary Clinton;706;27268
Yates;Republican;Donald Trump;1296;24457
Yavapai;Republican;Donald Trump;17005;25186
Yazoo;Democrat;Hillary Clinton;2203;14291
Yoakum;Republican;Ted Cruz;685;21389
Yolo;Democrat;Hillary Clinton;12567;27730
York;Republican;Donald Trump;12031;26553
York;Republican;Donald Trump;41948;28132
York;Republican;Marco Rubio;4239;36373
Yuba;Republican;Donald Trump;3210;19244
Yuma;Democrat;Hillary Clinton;45;22498
Yuma;Republican;Donald Trump;4390;18840
Zapata;Democrat;Hillary Clinton;1969;16671
Zavala;Democrat;Hillary Clinton;1557;12828
Ziebach;Democrat;Bernie Sanders;132;12339
