county;party;candidate;votes;income
Deer Lodge;Democrat;Hillary Clinton;986;22052
Delaware;Democrat;Bernie Sanders;1773;21109
Delaware;Democrat;Hillary Clinton;440;26261
Delaware;Democrat;Hillary Clinton;44775;33179
Delaware;Republican;John Kasich;32885;40189
Delta;Democrat;Bernie Sanders;417;24771
Delta;Republican;Donald Trump;1954;22471
Delta;Republican;Ted Cruz;553;20150
Denver;Democrat;Bernie Sanders;14624;33251
Des Moines;Democrat;Bernie Sanders;1066;24408
Desha;Democrat;Hillary Clinton;1342;19822
Deuel;Democrat;Hillary Clinton;162;27525
Dewey;Democrat;Bernie Sanders;342;15558
Dewey;Republican;Ted Cruz;363;24860
Dickens;Republican;Ted Cruz;267;20578
Dickenson;Republican;Donald Trump;911;18215
Dickinson;Democrat;Bernie Sanders;358;31790
Dickinson;Republican;Donald Trump;1708;24611
Dickson;Republican;Donald Trump;2730;21547
Dillon;Democrat;Hillary Clinton;1615;14988
Dimmit;Democrat;Hillary Clinton;1804;17516
Dinwiddie;Democrat;Hillary Clinton;1935;23781
Dodge;Republican;Donald Trump;2760;24588
Dolores;Democrat;Bernie Sanders;22;22880
Dona Ana;Democrat;Hillary Clinton;9097;19565
Donley;Republican;Ted Cruz;358;21904
Dooly;Democrat;Hillary Clinton;737;14510
Door;Democrat;Bernie Sanders;3417;30657
Dorchester;Republican;Donald Trump;6949;24495
Dougherty;Democrat;Hillary Clinton;8891;18619
Douglas;Democrat;Bernie Sanders;2347;43634
Douglas;Democrat;Bernie Sanders;4510;25129
Douglas;Democrat;Hillary Clinton;9375;23626
Douglas;Republican;Donald Trump;262;28323
Douglas;Republican;Donald Trump;12263;21870
Douglas;Republican;Donald Trump;23754;29180
Douglas;Republican;Ted Cruz;1764;23732
Drew;Democrat;Hillary Clinton;1250;17057
DuPage;Democrat;Bernie Sanders;65159;38570
Dubois;Republican;Donald Trump;4692;25589
Dubuque;Democrat;Hillary Clinton;2504;26254
Duchesne;Republican;Ted Cruz;1342;23411
Dunn;Democrat;Bernie Sanders;4272;22499
Duplin;Democrat;Hillary Clinton;3036;17122
Durham;Democrat;Hillary Clinton;35845;29347
Dutchess;Republican;Donald Trump;12447;33594
Duval;Democrat;Hillary Clinton;2272;20181
Duval;Democrat;Hillary Clinton;58632;26143
Dyer;Republican;Donald Trump;2400;21208
Eagle;Democrat;Bernie Sanders;623;39497
Early;Republican;Donald Trump;760;17579
East Baton Rouge;Democrat;Hillary Clinton;32960;27505
East Carroll;Democrat;Hillary Clinton;508;12055
East Feliciana;Democrat;Hillary Clinton;1847;22099
Eaton;Democrat;Bernie Sanders;7007;26582
Eau Claire;Democrat;Bernie Sanders;13058;25287
Edgar;Republican;Donald Trump;1562;23368
Edgecombe;Democrat;Hillary Clinton;6411;16971
Edgefield;Democrat;Hillary Clinton;1474;20753
Edwards;Republican;Ted Cruz;223;22015
El Dorado;Republican;Donald Trump;17651;34884
El Paso;Democrat;Bernie Sanders;4954;28867
El Paso;Democrat;Hillary Clinton;36067;18379
Elbert;Democrat;Bernie Sanders;144;36077
Elk;Republican;Donald Trump;2647;23738
Elliott;Democrat;Bernie Sanders;443;14040
Ellis;Republican;Ted Cruz;350;27183
Ellis;Republican;Ted Cruz;12546;25662
Emanuel;Republican;Donald Trump;1489;17064
Emery;Republican;Ted Cruz;455;20137
Emmet;Democrat;Bernie Sanders;2589;29718
Emmet;Democrat;Hillary Clinton;168;27908
Emporia;Democrat;Hillary Clinton;404;19710
Erie;Democrat;Hillary Clinton;19511;24189
Erie;Democrat;Hillary Clinton;50199;27978
Erie;Republican;John Kasich;5588;26135
Escambia;Republican;Donald Trump;2817;16540
Esmeralda;Republican;Donald Trump;46;20862
Essex;Democrat;Bernie Sanders;1932;26582
Essex;Democrat;Hillary Clinton;642;21532
Essex;Democrat;Hillary Clinton;75071;32181
Estill;Democrat;Hillary Clinton;446;16435
Etowah;Republican;Donald Trump;8657;20204
Evangeline;Democrat;Hillary Clinton;1319;18023
Evans;Republican;Donald Trump;481;18998
Fairfax;Democrat;Hillary Clinton;86898;50532
Fairfax City;Democrat;Hillary Clinton;1840;44345
Fairfield;Democrat;Hillary Clinton;3260;20257
Fall River;Republican;Donald Trump;923;23624
Falls;Republican;Ted Cruz;1150;16486
Falls Church;Democrat;Hillary Clinton;1587;59088
Fannin;Republican;Ted Cruz;2818;20337
Faulk;Republican;Donald Trump;216;23069
Fauquier;Republican;Donald Trump;4888;39600
Fayette;Democrat;Bernie Sanders;3585;18685
