"county","party","candidate","votes","poverty_level"
Wayne,Democrat,Hillary Clinton,7546,22.1
Erie,Democrat,Hillary Clinton,19511,16.9
Ulster,Democrat,Bernie Sanders,11572,12.5
Berrien,Republican,Donald Trump,1563,22.5
Monroe,Democrat,Hillary Clinton,843,28.8
Boulder,Democrat,Bernie Sanders,11142,14.2
Saint Francis,Democrat,Hillary Clinton,1912,28.4
Marion,Republican,Donald Trump,2760,18.1
Gallatin,Democrat,Bernie Sanders,663,17.2
Essex,Democrat,Bernie Sanders,1932,11.9
Suwannee,Republican,Donald Trump,2844,23.6
Moffat,Democrat,Bernie Sanders,28,11.5
Panola,Democrat,Hillary Clinton,3061,25.3
Converse,Democrat,Bernie Sanders,3,8.6
Campbell,Democrat,Bernie Sanders,12,7.7
Treasure,Republican,Donald Trump,143,11.3
Canyon,Republican,Ted Cruz,11164,20.4
Elmore,Republican,Donald Trump,8525,13.4
Hamilton,Republican,Donald Trump,766,17.1
Winneshiek,Democrat,Bernie Sanders,616,8.4
Carroll,Republican,Donald Trump,16534,5.6
Hale,Democrat,Hillary Clinton,2426,26.6
Otoe,Republican,Donald Trump,1255,10.5
Jackson,Democrat,Hillary Clinton,15,8.9
Georgetown,Democrat,Hillary Clinton,4931,21.2
Union,Republican,Donald Trump,2691,17.7
Dawson,Republican,Donald Trump,2649,15.6
Hernando,Republican,Donald Trump,15479,15.4
Butler,Republican,Donald Trump,564,25.1
Polk,Democrat,Hillary Clinton,12122,11.8
Taylor,Republican,Donald Trump,1203,16.7
Baldwin,Democrat,Hillary Clinton,3034,30.0
Okmulgee,Democrat,Bernie Sanders,1882,19.5
Mono,Democrat,Bernie Sanders,917,8.5
Merrick,Republican,Donald Trump,775,12.6
Robertson,Democrat,Bernie Sanders,177,22.8
LaGrange,Republican,Donald Trump,2571,16.5
Menard,Republican,Ted Cruz,1064,9.8
Charleston,Democrat,Hillary Clinton,26535,18.2
Morgan,Republican,Donald Trump,10909,15.7
Boundary,Republican,Ted Cruz,901,16.5
Decatur,Republican,Donald Trump,1525,27.1
Arlington,Democrat,Hillary Clinton,25561,8.0
Beadle,Democrat,Hillary Clinton,501,20.4
Ventura,Democrat,Hillary Clinton,45848,11.1
Choctaw,Republican,Donald Trump,765,24.1
Pulaski,Republican,Donald Trump,2821,23.3
Sangamon,Republican,Ted Cruz,12261,14.2
Abbeville,Democrat,Hillary Clinton,1501,21.6
Marshall,Democrat,Bernie Sanders,738,17.3
Sandoval,Democrat,Hillary Clinton,7448,14.2
Miami-Dade,Democrat,Hillary Clinton,129467,19.9
Laramie,Democrat,Hillary Clinton,26,10.8
Chattooga,Republican,Donald Trump,1674,24.0
Bureau,Republican,Donald Trump,2185,11.6
Webster,Republican,Donald Trump,1191,24.9
Mississippi,Democrat,Hillary Clinton,2017,24.9
Plaquemines,Republican,Donald Trump,705,12.7
Baraga,Republican,Donald Trump,468,13.2
Benton,Democrat,Bernie Sanders,11567,22.5
Nash,Democrat,Hillary Clinton,8554,17.0
Bollinger,Republican,Donald Trump,1272,19.9
Union,Democrat,Hillary Clinton,822,27.9
Corson,Democrat,Bernie Sanders,148,44.2
Alameda,Democrat,Hillary Clinton,107102,12.5
Trinity,Republican,Donald Trump,1026,19.2
McCurtain,Democrat,Bernie Sanders,1314,26.1
Pocahontas,Democrat,Hillary Clinton,198,14.2
Vermillion,Republican,Donald Trump,1748,15.8
Schuyler,Republican,Donald Trump,697,15.9
Camden,Democrat,Hillary Clinton,43720,13.0
Wright,Republican,Donald Trump,1874,27.5
Saguache,Democrat,Bernie Sanders,219,24.7
Lonoke,Republican,Ted Cruz,4028,13.2
Benton,Republican,Donald Trump,2278,20.1
Ray,Republican,Donald Trump,1565,11.6
Guilford,Democrat,Hillary Clinton,37880,18.1
Porter,Republican,Donald Trump,16194,10.4
Harmon,Democrat,Bernie Sanders,167,28.8
Rush,Republican,Donald Trump,2362,15.4
Clark,Republican,Donald Trump,10635,12.2
Jasper,Democrat,Hillary Clinton,927,11.8
Keokuk,Democrat,Hillary Clinton,250,13.2
Brevard,Republican,Donald Trump,45483,13.5
Webster,Republican,Donald Trump,191,22.5
Morehouse,Democrat,Hillary Clinton,1513,26.5
Marshall,Democrat,Hillary Clinton,3361,22.2
Mercer,Democrat,Hillary Clinton,29505,11.2
Hancock,Democrat,Hillary Clinton,1112,30.6
Warrick,Republican,Donald Trump,7450,9.0
Knox,Republican,Donald Trump,1285,34.7
Lawrence,Democrat,Bernie Sanders,659,27.0
Allegany,Republican,Donald Trump,6272,17.4
Sullivan,Democrat,Bernie Sanders,2671,18.2
Quitman,Democrat,Hillary Clinton,986,40.7
Sumter,Democrat,Hillary Clinton,1960,32.3
Van Buren,Republican,Donald Trump,1198,24.5
Boyle,Democrat,Hillary Clinton,1648,18.3
Kootenai,Republican,Ted Cruz,11924,13.4
Allen,Democrat,Hillary Clinton,536,16.1
Taney,Republican,Donald Trump,5086,18.8
Madison,Democrat,Bernie Sanders,18723,14.0
Sheridan,Republican,Donald Trump,499,11.8
Clay,Democrat,Hillary Clinton,2372,26.4
Wayne,Republican,Donald Trump,6116,21.8
San Miguel,Democrat,Hillary Clinton,3418,29.4
DeSoto,Democrat,Hillary Clinton,1508,22.6
Cedar,Republican,Donald Trump,775,10.1
Laurens,Republican,Donald Trump,3088,24.7
Craig,Democrat,Bernie Sanders,926,17.8
Eaton,Democrat,Bernie Sanders,7007,10.8
Otsego,Republican,Donald Trump,1933,13.5
Kent,Democrat,Bernie Sanders,43375,15.5
Bulloch,Republican,Donald Trump,3111,31.3
Colbert,Democrat,Hillary Clinton,3879,17.9
Holmes,Republican,Donald Trump,1239,23.8
Anson,Democrat,Hillary Clinton,2307,24.2
Fresno,Republican,Donald Trump,37672,26.0
Pulaski,Democrat,Hillary Clinton,34862,17.2
Davidson,Democrat,Hillary Clinton,43691,18.5
Fluvanna,Democrat,Hillary Clinton,1355,7.1
Union,Democrat,Hillary Clinton,40972,10.8
Tyrrell,Democrat,Hillary Clinton,266,20.8
Houston,Republican,Donald Trump,8171,18.0
Franklin,Republican,Donald Trump,333,12.9
Bartow,Republican,Donald Trump,8281,17.1
Lafayette,Democrat,Bernie Sanders,1330,11.7
Mercer,Republican,Ted Cruz,1073,10.1
Kalamazoo,Democrat,Bernie Sanders,20146,19.1
Will,Democrat,Bernie Sanders,46305,8.0
Deuel,Democrat,Hillary Clinton,162,4.7
Houston,Republican,Donald Trump,7091,15.2
Logan,Republican,Ted Cruz,2361,13.8
Glascock,Republican,Donald Trump,405,21.4
Limestone,Republican,Donald Trump,8198,14.7
Coahoma,Democrat,Hillary Clinton,2301,38.2
Worth,Democrat,Bernie Sanders,218,11.5
Newton,Republican,Donald Trump,1814,11.2
Montgomery,Democrat,Hillary Clinton,953,31.1
Coffee,Republican,Donald Trump,4304,18.6
San Miguel,Democrat,Bernie Sanders,329,10.6
Albany,Democrat,Bernie Sanders,20422,13.0
Bonner,Republican,Ted Cruz,3132,15.2
Talbot,Democrat,Hillary Clinton,852,21.8
Williamson,Republican,Donald Trump,4929,15.6
Izard,Republican,Donald Trump,873,18.7
Treutlen,Republican,Donald Trump,437,25.8
Forrest,Republican,Donald Trump,4267,27.6
Costilla,Democrat,Hillary Clinton,64,22.2
Covington,Republican,Donald Trump,1724,29.9
Gooding,Republican,Ted Cruz,863,20.8
Grant,Democrat,Bernie Sanders,715,18.0
Macoupin,Democrat,Bernie Sanders,3552,12.4
New Castle,Democrat,Hillary Clinton,38580,10.7
Lake,Republican,Donald Trump,26393,13.8
Philadelphia,Democrat,Hillary Clinton,212785,26.5
St. John the Baptist,Democrat,Hillary Clinton,3818,16.1
Oktibbeha,Democrat,Hillary Clinton,2389,33.7
Bolivar,Democrat,Hillary Clinton,3029,34.3
Jasper,Republican,Donald Trump,3903,7.7
