"county","party","candidate","votes","households"
Iron,Republican,Donald Trump,868,5289
Whitley,Republican,Ted Cruz,4064,13094
Tompkins,Democrat,Bernie Sanders,9298,38409
Livingston,Democrat,Bernie Sanders,610,3569
Lake,Democrat,Hillary Clinton,49750,241072
Pike,Republican,Donald Trump,1603,6708
Martin,Republican,Donald Trump,16065,59891
Hamilton,Democrat,Hillary Clinton,758,4657
Tipton,Republican,Donald Trump,2269,6622
Hitchcock,Republican,Donald Trump,305,1366
Scott,Republican,Donald Trump,510,2113
Effingham,Republican,Ted Cruz,3448,13544
Buchanan,Democrat,Hillary Clinton,525,8187
Crook,Democrat,Bernie Sanders,1,3010
Wayne,Republican,Donald Trump,1735,8105
Greenwood,Democrat,Hillary Clinton,3588,27004
Marion,Democrat,Hillary Clinton,3359,12049
Jefferson,Democrat,Hillary Clinton,1519,6220
DeKalb,Republican,Donald Trump,4203,16032
Prince George's,Democrat,Hillary Clinton,113912,303441
Davidson,Democrat,Hillary Clinton,43691,256745
Washington,Republican,Donald Trump,1739,8533
East Feliciana,Democrat,Hillary Clinton,1847,6991
Perry,Democrat,Bernie Sanders,1666,10801
San Luis Obispo,Republican,Donald Trump,19313,102154
Bullock,Democrat,Hillary Clinton,2451,3741
Ingham,Democrat,Bernie Sanders,22909,108823
Cibola,Democrat,Hillary Clinton,1586,8016
Lake,Democrat,Bernie Sanders,165,3079
Marion,Democrat,Hillary Clinton,59649,360072
Crisp,Republican,Donald Trump,1204,8832
Carroll,Democrat,Hillary Clinton,0,11019
Osage,Democrat,Hillary Clinton,2390,18512
Lauderdale,Republican,Donald Trump,4740,29809
Dubuque,Democrat,Hillary Clinton,2504,37366
Clinton,Democrat,Bernie Sanders,4301,31901
DeKalb,Democrat,Bernie Sanders,8315,37844
Door,Democrat,Bernie Sanders,3417,13459
Calhoun,Democrat,Bernie Sanders,200,4356
Pierce,Republican,Donald Trump,617,2916
Morgan,Democrat,Bernie Sanders,87,10446
Franklin,Democrat,Hillary Clinton,226,4358
Morehouse,Democrat,Hillary Clinton,1513,10482
Linn,Republican,Donald Trump,955,4854
Dona Ana,Democrat,Hillary Clinton,9097,73797
Johnson,Republican,Donald Trump,684,3250
Fayette,Republican,Donald Trump,1933,8124
Alamosa,Democrat,Bernie Sanders,167,5891
Chattooga,Republican,Donald Trump,1674,9457
Scott,Democrat,Hillary Clinton,2505,17989
Jefferson,Democrat,Hillary Clinton,1671,5347
Jerome,Republican,Ted Cruz,1164,7676
Shelby,Democrat,Bernie Sanders,232,5083
Shelby,Republican,Donald Trump,5044,17171
Coffee,Republican,Donald Trump,4304,18820
Ballard,Democrat,Bernie Sanders,659,3327
Nemaha,Republican,Donald Trump,472,3001
Lafayette,Republican,Donald Trump,2521,15743
Watauga,Democrat,Bernie Sanders,5811,20909
Alpine,Democrat,Bernie Sanders,129,394
Estill,Democrat,Hillary Clinton,446,5829
Massac,Republican,Donald Trump,1341,6053
Georgetown,Democrat,Hillary Clinton,4931,23115
Benzie,Democrat,Bernie Sanders,1650,7682
Washington,Democrat,Hillary Clinton,601,4480
Conway,Democrat,Hillary Clinton,1755,8154
Brown,Republican,Donald Trump,502,2105
Chickasaw,Democrat,Hillary Clinton,1398,6614
Merced,Democrat,Hillary Clinton,7169,75409
Presque Isle,Republican,Donald Trump,916,6253
Missaukee,Republican,Donald Trump,1221,5891
Wilcox,Republican,Donald Trump,602,2705
San Miguel,Democrat,Hillary Clinton,3418,11435
Phillips,Democrat,Hillary Clinton,2696,8339
Gordon,Republican,Donald Trump,4339,19066
Highlands,Republican,Donald Trump,7480,39931
Pierce,Democrat,Bernie Sanders,3199,15069
St. Clair,Democrat,Hillary Clinton,20987,102885
Montgomery,Democrat,Hillary Clinton,75333,307488
Jefferson,Democrat,Hillary Clinton,17581,167251
Daniels,Republican,Donald Trump,340,890
Hopewell,Democrat,Hillary Clinton,1177,8766
Wilkinson,Democrat,Hillary Clinton,1269,3496
Oregon,Republican,Donald Trump,941,4572
Jones,Republican,Donald Trump,2318,10384
