"county","party","candidate","votes","households"
St. Lucie,Republican,Donald Trump,18350,106060
Pottawattamie,Democrat,Bernie Sanders,1573,36460
Jay,Republican,Donald Trump,2194,8179
Bell,Republican,Donald Trump,692,11109
Pawnee,Republican,Donald Trump,225,1314
Tippecanoe,Republican,Donald Trump,10296,66667
Emanuel,Republican,Donald Trump,1489,8026
Houston,Republican,Donald Trump,8171,39250
Caribou,Republican,Ted Cruz,602,2644
Richmond,Democrat,Hillary Clinton,2941,18254
Missoula,Democrat,Bernie Sanders,13271,45523
Valley,Republican,Donald Trump,575,3519
Natchitoches,Democrat,Hillary Clinton,2545,14903
Sweetwater,Democrat,Bernie Sanders,12,16682
Blaine,Republican,Donald Trump,99,249
Deuel,Democrat,Hillary Clinton,162,1789
Lawrence,Republican,Donald Trump,1326,4872
Lincoln,Republican,Donald Trump,2950,13045
Dickinson,Democrat,Bernie Sanders,358,7981
Walton,Republican,Donald Trump,7910,29520
Ripley,Republican,Donald Trump,3694,10761
Drew,Democrat,Hillary Clinton,1250,7496
St. Clair,Republican,Donald Trump,11995,64379
Baltimore,Democrat,Hillary Clinton,73099,313912
Walthall,Republican,Donald Trump,1143,5649
Calvert,Republican,Donald Trump,6360,30923
Todd,Democrat,Bernie Sanders,524,2680
Lumpkin,Republican,Donald Trump,2453,10999
Dougherty,Democrat,Hillary Clinton,8891,35661
Tattnall,Republican,Donald Trump,1089,7885
Eagle,Democrat,Bernie Sanders,623,17966
Putnam,Republican,Donald Trump,4087,12414
Boone,Democrat,Hillary Clinton,2932,43255
Lawrence,Republican,Donald Trump,1201,4830
Denver,Democrat,Bernie Sanders,14624,266069
Garfield,Republican,Donald Trump,227,864
Cumberland,Democrat,Hillary Clinton,22744,121226
Dunn,Democrat,Bernie Sanders,4272,16222
Pitkin,Democrat,Bernie Sanders,421,7507
Cooper,Republican,Ted Cruz,1369,6568
Harris,Republican,Donald Trump,2542,11426
Clarke,Democrat,Hillary Clinton,3148,9631
Pierce,Republican,Donald Trump,1345,6970
Cheboygan,Republican,Donald Trump,2089,11477
Wayne,Republican,Donald Trump,2033,10171
Bear Lake,Republican,Ted Cruz,643,2442
Sierra,Republican,Donald Trump,497,1253
Howard,Republican,Donald Trump,559,5208
Nottoway,Democrat,Hillary Clinton,829,5673
Payne,Democrat,Bernie Sanders,3829,30010
Monroe,Republican,Ted Cruz,195,3361
Scott,Democrat,Hillary Clinton,2013,9692
Tama,Democrat,Hillary Clinton,476,6794
Lee,Republican,Donald Trump,3057,9773
Mohave,Republican,Donald Trump,14154,80230
Uvalde,Democrat,Hillary Clinton,1740,8619
Imperial,Democrat,Hillary Clinton,5743,48099
Troup,Republican,Donald Trump,4140,24441
Dimmit,Democrat,Hillary Clinton,1804,3542
Henderson,Republican,Donald Trump,516,3202
Cullman,Republican,Donald Trump,10618,31342
Yancey,Democrat,Bernie Sanders,1386,7278
Jones,Democrat,Hillary Clinton,910,4151
Claiborne,Democrat,Hillary Clinton,1411,3190
Harrison,Democrat,Bernie Sanders,1059,7179
Fayette,Democrat,Hillary Clinton,9184,54363
Petersburg,Democrat,Hillary Clinton,4099,12456
Pasco,Republican,Donald Trump,33536,182707
Casey,Republican,Donald Trump,1029,6050
